iso3,country_id,country_name,country_name_dos_short,country_name_dos_long,region,highland_population_total_2015,highland_population_total_2025,highland_absolute_change_2015_2025,highland_percent_change_2015_2025,lowland_population_total_2015,lowland_population_total_2025,lowland_absolute_change_2015_2025,lowland_percent_change_2015_2025,highland_minus_lowland_growth_difference_pp,highland_youth_share_2025_percent,lowland_youth_share_2025_percent,country_share_global_highland_2025_population_percent,country_share_global_highland_absolute_growth_percent
ZWE,322,Zimbabwe,Zimbabwe,Republic of Zimbabwe,Africa,973885.3537240047,1143476.0749735616,169590.72124955687,17.413828085725395,756135.7613291128,887007.5596850788,130871.79835596599,17.307976298584723,0.10585178714067212,36.910451964692086,44.48815866806115,0.21906887790198873,0.2178415478498429
MAR,144,Morocco,Morocco,Kingdom of Morocco,Africa,1019939.3377692731,1129857.9115402144,109918.57377094135,10.776971698272385,23879137.809416268,26623148.804477237,2744010.995060969,11.491248205699128,-0.7142765074267423,27.932256584524183,24.724443859265442,0.21645988953072068,0.14119187695695687
ARM,9,Armenia,Armenia,Republic of Armenia,Asia,667118.1868706424,704995.5278953613,37877.341024718946,5.677755721575547,6369.663201794811,6166.196517277113,-203.466684517698,-3.194308365634877,8.872064087210424,19.1232828212825,19.29523442482616,0.1350641107427874,0.04865395073778359
MNG,156,Mongolia,Mongolia,Mongolia,Asia,607319.9785052156,688852.1081668761,81532.12966166053,13.424904917887586,0.0,0.0,0.0,0.0,13.424904917887586,31.838863415560052,0.0,0.1319713299467381,0.10472911014308589
TJK,242,Tajikistan,Tajikistan,Republic of Tajikistan,Asia,497924.33544409816,628904.481513498,130980.14606939984,26.30523088464411,3332521.742001265,4165775.841250744,833254.0992494794,25.003710815974717,1.3015200686693937,34.426411389967186,36.918998825787455,0.1204864728594164,0.1682457480404821
NAM,166,Namibia,Namibia,Republic of Namibia,Africa,478016.7676208736,625019.417621879,147002.65000100544,30.752613706972877,195926.2619833795,256116.7041532329,60190.4421698534,30.72096693957208,0.031646767400797415,28.16573193792154,26.494922742906148,0.11974216643627224,0.18882686846484184
ZMB,321,Zambia,Zambia,Republic of Zambia,Africa,418194.7362062,564393.2124385883,146198.4762323883,34.959425256921925,144550.95291299908,193569.40177794095,49018.44886494186,33.91084449954793,1.0485807573739976,44.44659132958243,42.624844564234785,0.10812730624668207,0.18779389651210146
MMR,154,Burma,Burma,Union of Burma,Asia,491327.3389615402,527029.2456563389,35701.90669479867,7.266419729514243,44025604.69652623,47306552.69479954,3280947.998273313,7.452363280162262,-0.1859435506480196,31.513612748075857,23.567475812362638,0.10096906091378885,0.045859576268568604
HND,103,Honduras,Honduras,Republic of Honduras,North America,379663.536220871,449195.4822124254,69531.94599155436,18.31409639273439,4222284.092913221,5047703.529528592,825419.4366153711,19.549121244607253,-1.2350248518728648,32.14078504279311,30.30854248408943,0.0860575506568373,0.08931471384877701
VEN,260,Venezuela,Venezuela,Bolivarian Republic of Venezuela,South America,470041.6245552608,439987.25918542355,-30054.365369837265,-6.393979554103065,22700896.5243457,21243549.96569137,-1457346.5586543307,-6.419775347160371,0.025795793057306504,24.979821913079224,26.03573413473957,0.08429342534617597,-0.03860523396310028
