iso3,country_name,elevation_group,pop_total_2015,pop_total_2025,pop_total_change_2015_2025,pop_total_pct_change_2015_2025,growth_percent,elevation_label
PAK,Pakistan,2500-3499m,694143.5224208432,792060.623903174,97917.1014823307,14.1061752101125,14.1061752101125,"2,500-3,499 m"
PAN,Panama,1500-2499m,12155.653771527148,13996.806095956656,1841.1523244295076,15.14646895210309,15.14646895210309,"1,500-2,499 m"
PAN,Panama,2500-3499m,78.09140915923695,90.29453625309665,12.203127093859706,15.626721588511986,15.626721588511986,"2,500-3,499 m"
PER,Peru,1500-2499m,1989336.637451008,2259933.4394301237,270596.8019791157,13.602363566069887,13.602363566069887,"1,500-2,499 m"
PER,Peru,2500-3499m,4416731.728969193,5017510.7969512865,600779.0679820934,13.602344558117577,13.602344558117577,"2,500-3,499 m"
PHL,Philippines,1500-2499m,169343.7383494231,188218.03291574214,18874.294566319033,11.145552088482834,11.145552088482834,"1,500-2,499 m"
PNG,Papua New Guinea,1500-2499m,3061882.2594233486,4053659.152188919,991776.8927655704,32.39108524546447,32.39108524546447,"1,500-2,499 m"
PNG,Papua New Guinea,2500-3499m,120999.23680549845,158030.84691251663,37031.610107018176,30.60482948875541,30.60482948875541,"2,500-3,499 m"
PRK,"Korea, North",1500-2499m,8826.521480902627,9285.41026103056,458.8887801279325,5.1989765290981325,5.1989765290981325,"1,500-2,499 m"
PRT,Portugal,1500-2499m,284.814999850097,285.7333514438447,0.9183515937476727,0.32243793136984245,0.32243793136984245,"1,500-2,499 m"
QX2,Koktash-Khoji Alo,1500-2499m,,,,,,"1,500-2,499 m"
REU,Reunion,1500-2499m,2546.280265665584,2590.0550265564066,43.77476089082256,1.7191650691829903,1.7191650691829903,"1,500-2,499 m"
ROU,Romania,1500-2499m,2957.9752816776127,2819.6803194317627,-138.29496224585,-4.675325149012609,-4.675325149012609,"1,500-2,499 m"
RUS,Russia,1500-2499m,223813.73293066988,226682.67028204753,2868.937351377652,1.2818415178600118,1.2818415178600118,"1,500-2,499 m"
RUS,Russia,2500-3499m,1004.0102746767168,954.7326008635272,-49.27767381318961,-4.908084613880732,-4.908084613880732,"2,500-3,499 m"
RWA,Rwanda,1500-2499m,7695676.608626482,9640122.597572759,1944445.9889462767,25.266732060526643,25.266732060526643,"1,500-2,499 m"
RWA,Rwanda,2500-3499m,112084.59928587012,139655.76565094784,27571.16636507772,24.598532305725488,24.598532305725488,"2,500-3,499 m"
