removed_iso3,removed_country_name,removed_region,removed_highland_population_2025,removed_highland_absolute_growth_2015_2025,remaining_highland_population_2015,remaining_highland_population_2025,remaining_highland_absolute_change_2015_2025,remaining_highland_growth_percent,remaining_lowland_population_2015,remaining_lowland_population_2025,remaining_lowland_absolute_change_2015_2025,remaining_lowland_growth_percent,remaining_highland_minus_lowland_growth_difference_pp,contrast_reverses_highland_not_greater_than_lowland
MNP,Northern Mariana Islands,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728240007.086527,6242313833.072883,514073825.9863558,8.974376516179214,8.554759838309534,False
TON,Tonga,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728186199.491767,6242254711.369374,514068511.87760735,8.974368045564198,8.554768308924551,False
MWI,Malawi,Africa,349821.42946920975,80641.3637584832,443851354.3216798,521621207.00897104,77769852.68729126,17.52159860053684,5726328475.044955,6239798251.585197,513469776.5402422,8.96682365983574,8.554774940701101,False
GUM,Guam,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728126652.086822,6242189321.07285,514062668.9860287,8.974359336114711,8.554777018374038,False
ASM,American Samoa,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728238688.086476,6242311331.072876,514072642.98639965,8.974357930572305,8.554778423916444,False
LCA,Saint Lucia,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728118012.34688,6242178431.91636,514060419.56947994,8.974333602440273,8.554802752048476,False
DMA,Dominica,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728224110.471686,6242294024.44644,514069913.9747534,8.974333127696408,8.554803226792341,False
GRD,Grenada,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728177726.728458,6242240744.699154,514063017.9706955,8.974285409686354,8.554850944802395,False
IMN,Isle of Man,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728208133.2260475,6242273583.779607,514065450.5535593,8.97428023908141,8.55485611540734,False
JEY,Jersey,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728190898.086271,6242253795.072816,514062896.9865446,8.974262662200864,8.554873692287885,False
COK,Cook Islands,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728274379.086489,6242344229.07289,514069849.98640156,8.974253256150456,8.554883098338292,False
GRL,Greenland,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728235885.086497,6242301924.0728655,514066038.9863682,8.97424703344956,8.55488932103919,False
ABW,Aruba,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728188089.087539,6242249598.073961,514061508.98642254,8.974242831965196,8.554893522523553,False
BMU,Bermuda,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728228375.086318,6242293119.072943,514064743.9866247,8.97423619181172,8.55490016267703,False
KNA,Saint Kitts and Nevis,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728244790.634796,6242310847.770008,514066057.13521194,8.974233398259573,8.554902956229176,False
GGY,Guernsey,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728229656.086193,6242293329.072753,514063672.98655987,8.974215488032533,8.554920866456216,False
FSM,"Micronesia, Federated States of",Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728218795.706899,6242281356.644607,514062560.9377079,8.97421308911908,8.554923265369668,False
ATG,Antigua and Barbuda,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728202820.344971,6242263775.028961,514060954.6839905,8.974210076120038,8.554926278368711,False
SMR,San Marino,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728261613.430626,6242327654.8661785,514066041.4355526,8.974206768599053,8.554929585889695,False
TUV,Tuvalu,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728280933.747434,6242348186.280516,514067252.533082,8.974197642865605,8.554938711623144,False
WLF,Wallis and Futuna,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728279644.08648,6242346485.072893,514066840.986413,8.97419247883793,8.55494387565082,False
PLW,Palau,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728274480.986923,6242340390.689552,514065909.7026291,8.974184309933081,8.554952044555668,False
ESP,Canary Islands,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728231735.539793,6242293582.566655,514061847.02686214,8.974180353728656,8.554956000760093,False
PRT,Azores,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728276309.049351,6242342098.413581,514065789.36423016,8.974179345226856,8.554957009261893,False
MCO,Monaco,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728255327.803206,6242319138.514539,514063810.7113323,8.97417767354439,8.55495868094436,False
AX2,U.S. Naval Base Guantanamo Bay,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728282690.635342,6242348786.957208,514066096.32186604,8.97417470618667,8.55496164830208,False
CXR,Christmas Island,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728289793.088279,6242356476.699964,514066683.6116848,8.974173831637405,8.554962522851344,False
SPM,Saint Pierre and Miquelon,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728285920.086486,6242352118.072888,514066197.9864025,8.974171421573194,8.554964932915555,False
PRT,Madeira Islands,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728283214.711795,6242349029.63198,514065814.9201851,8.97416897265002,8.554967381838729,False
MSR,Montserrat,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728287183.086484,6242353347.072887,514066163.98640347,8.97416884935956,8.55496750512919,False
SHN,"Saint Helena, Ascension, and Tristan da Cunha",Africa,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728287202.430718,6242353277.106737,514066074.6760187,8.974167259942588,8.554969094546161,False
AIA,Anguilla,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728277839.086451,6242343046.072912,514065206.98646164,8.974166781484975,8.554969573003774,False
ESP,Spain (Plazas de Soberania),Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728284516.212309,6242350211.822846,514065695.6105375,8.974164850848771,8.554971503639978,False
WSM,Samoa,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728093745.393976,6242142059.768523,514048314.374547,8.974160291770696,8.554976062718053,False
FLK,Falkland Islands (Islas Malvinas),South America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728288500.257501,6242354249.248873,514065748.9913721,8.97415954116598,8.554976813322769,False
NIU,Niue,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728290098.086485,6242355898.072878,514065799.986393,8.974157928176767,8.554978426311981,False
XPR,Paracel Islands,Asia,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728290320.191946,6242356138.998236,514065818.8062897,8.974157908760883,8.554978445727865,False
PCN,Pitcairn Islands,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728291816.376743,6242357699.341,514065882.9642563,8.97415668480055,8.5549796696882,False
CCK,Cocos (Keeling) Islands,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728291284.860103,6242357105.216083,514065820.3559799,8.974156424528514,8.554979929960234,False
XSV,Svalbard,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728291865.964152,6242357712.34691,514065846.38275814,8.974155968504123,8.554980385984626,False
QX2,DMZ - South Korea,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728291873.085137,6242357720.070892,514065846.98575497,8.974155967874765,8.554980386613984,False
QX2,DMZ - North Korea,Europe,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728291864.78232,6242357710.915847,514065846.1335268,8.97415596600474,8.554980388484008,False
XZZ,Sapodilla Cayes,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728291864.739203,6242357710.346152,514065845.60694885,8.974155956879706,8.554980397609043,False
XXZ,Parsley Island,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728291868.47218,6242357714.2667265,514065845.7945461,8.974155954306411,8.554980400182338,False
BES,Saba,North America,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728291850.754161,6242357693.558422,514065842.8042612,8.974155929862086,8.554980424626663,False
XQT,Corisco Bay Islands,Africa,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728291850.516395,6242357691.307987,514065840.7915926,8.974155895098999,8.55498045938975,False
SDN,Hala'ib Triangle,Africa,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728291691.322346,6242357489.353187,514065798.0308409,8.974155398014858,8.55498095647389,False
NFK,Norfolk Island,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728289830.599753,6242355413.194378,514065582.5946245,8.974154552176381,8.554981802312367,False
XXX,Koalou / Kourou,Africa,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728291253.172918,6242356881.154968,514065627.98204994,8.974153115858195,8.554983238630554,False
NRU,Nauru,Oceania,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728281024.08654,6242345732.072964,514064707.9864235,8.974153080563967,8.554983273924782,False
XAA,Abu Musa and Tunb Islands,Asia,0.0,0.0,444120534.3873905,521971028.43844026,77850494.05104977,17.52913635448875,5728286467.648204,6242351663.784041,514065196.13583755,8.974153074207047,8.554983280281702,False
