elevation_group,settlement_class,population_2015,population_2025,youth_population_2015,youth_population_2025,working_age_population_2015,working_age_population_2025,old_age_population_2015,old_age_population_2025,population_2025_millions,population_change_percent,youth_share_2015_percent,youth_share_2025_percent,youth_share_change_pp,youth_share_change_percent,working_age_share_2015_percent,working_age_share_2025_percent,working_age_share_change_pp,working_age_share_change_percent,old_age_share_2015_percent,old_age_share_2025_percent,old_age_share_change_pp,old_age_share_change_percent
1500-2499 m,Peri-urban,83947042.53149958,101853483.82040048,31341217.349289708,35142194.1341093,49008544.83357931,61294134.56849704,3597280.3486305703,5417155.117794142,101.85348382040047,21.330639828296306,37.33451042963127,34.50269231445826,-2.8318181151730144,-7.584987944359078,58.38031139118422,60.178731516516166,1.798420125331944,3.0805250648312077,4.2851781791845225,5.318576169025577,1.0333979898410544,24.115636424661147
1500-2499 m,Semi-dense urban,11639370.557832023,14153355.449735878,4384526.142274525,4939099.774718037,6738978.037810498,8439373.813849526,515866.37774700124,774881.8611683146,14.153355449735878,21.59897633134653,37.669787386605876,34.89702348152506,-2.772763905080815,-7.360710259986014,57.89813121187987,59.62807790577334,1.7299466938934671,2.9879145624971404,4.4320814015142735,5.47489861270159,1.0428172111873169,23.528837056806438
1500-2499 m,Dense urban,34279539.915141135,39820197.45976648,11033698.292577293,11938635.596387977,21407620.364399444,25093216.010205925,1838221.258164398,2788345.853172578,39.820197459766476,16.163161927905744,32.18741651694034,29.981357095103643,-2.206059421836695,-6.85379462087502,62.450139113284266,63.01630230628466,0.5661631930003921,0.9065843584004973,5.362444369775403,7.0023405986117115,1.6398962288363084,30.58113270282732
1500-2499 m,Urban centre,130770663.5184279,149825693.1878279,36820811.004827514,38782748.643174656,86786969.7434228,100532512.42985234,7162882.770177571,10510432.114800883,149.82569318782788,14.571333628443961,28.156782273754246,25.885245593060564,-2.271536680693682,-8.067458343104239,66.36577914984197,67.099647791264,0.7338686414220348,1.1057937551898434,5.4774385764037925,7.015106615675428,1.5376680392716358,28.072757326677134
2500-3499 m,Low-density rural,17492813.53818008,20701170.08041541,6523425.117969865,7005946.87211611,10045222.04460797,12394820.546254367,924166.3756022409,1300402.662044934,20.70117008041541,18.34099777735996,37.292029116595444,33.84324096126417,-3.448788155331272,-9.248057123811792,57.42485062613351,59.87497565647575,2.4501250303422353,4.266663306264151,5.28312025727103,6.2817833822600955,0.9986631249890658,18.902903518325754
2500-3499 m,Rural cluster,2881025.0149474433,3415311.4071736857,970419.1048431312,1057983.989307374,1740962.3569673947,2110045.5141776656,169643.55313691706,247281.90368864586,3.415311407173686,18.54501052417934,33.683119716363656,30.97767269728708,-2.7054470190765763,-8.03205594332831,60.428574827877846,61.78193618730121,1.353361359423367,2.2396049605310386,5.888305455758487,7.2403911154116996,1.3520856596532127,22.962220112595144
2500-3499 m,Peri-urban,9458726.873348713,11701885.34603407,3551336.213962648,3993182.7758771977,5466117.276707792,7057316.013627459,441273.38267827226,651386.5565294113,11.70188534603407,23.71522618975044,37.54560483154488,34.12426850713028,-3.4213363244145967,-9.112481580107811,57.789143823460456,60.30922201796551,2.5200781945050537,4.360815938376961,4.665251344994661,5.566509474904189,0.9012581299095279,19.31853319921306
2500-3499 m,Semi-dense urban,1012373.0429746245,1229552.1148995995,367333.2690258606,408876.29540677485,597185.7479877151,749771.4065382367,47854.02596104888,70904.41295458807,1.2295521148995994,21.452474799886456,36.28437872531024,33.25408418659523,-3.0302945387150118,-8.351512813973649,58.988705016583864,60.97922954648084,1.9905245298969731,3.3744163892686974,4.726916258105892,5.76668626692394,1.0397700088180475,21.996793512789893
2500-3499 m,Dense urban,4725668.456841031,5437144.0962532135,1493374.9579894007,1575607.0053249572,2983319.8194399616,3489771.182221888,248973.67941166885,371765.90870636783,5.437144096253213,15.055555545421884,31.60134849975653,28.978577308825095,-2.6227711909314344,-8.2995546565098,63.130112632451194,64.18390096791295,1.0537883354617534,1.6692324653323487,5.268538867792269,6.837521723261945,1.5689828554696765,29.78022739969164
2500-3499 m,Urban centre,20594500.528475918,23584658.50360452,5074416.560905204,4921067.292096502,14206300.327277657,16690572.606123134,1313783.6402930564,1973018.6053848872,23.58465850360452,14.519206090937352,24.63966802151299,20.865543977854923,-3.774124043658066,-15.31726823739209,68.98103844584466,70.7687694675429,1.7877310216982352,2.5916267165240425,6.379293532642338,8.365686554602197,1.9863930219598593,31.138134838844532
>=3500 m,Low-density rural,4354097.0635296935,4810843.154273544,1286059.3484721505,1261361.744625918,2757221.335730025,3132525.925848901,310816.37932751793,416955.4837987258,4.810843154273544,10.490030058576249,29.53676341403362,26.219140890208227,-3.317622523825392,-11.23218030804658,63.32475586786426,65.11386518735766,1.7891093194933987,2.8252920914951796,7.138480718102123,8.666993922434116,1.5285132043319933,21.412304167971087
>=3500 m,Rural cluster,1221666.437914577,1304417.4921946377,347866.7505191409,334581.02394085604,807256.4531245498,870184.2173312667,66543.23427088645,99652.25092251501,1.3044174921946377,6.773620991120888,28.474773450677777,25.649841859904452,-2.824931590773325,-9.92082200642086,66.0783032152837,66.71056027217264,0.6322570568889461,0.9568300427283072,5.446923334038531,7.639597867922909,2.192674533884378,40.255285404552524
>=3500 m,Peri-urban,757835.3546815229,813643.3083310619,198480.2367647445,193251.1675521388,522136.6423152769,565712.5066871669,37218.47560150154,54679.63409175626,0.8136433083310618,7.364126429940976,26.19041663055625,23.751337419407275,-2.439079211148975,-9.312869075566033,68.8984274868916,69.5283179858692,0.6298904989775878,0.9142305883504065,4.911155882552147,6.720344594723535,1.8091887121713883,36.8383483529588
>=3500 m,Semi-dense urban,271269.39137855073,279843.4656149994,74897.33774934063,69879.50509453642,183300.5092050211,189528.9663193414,13071.544424189007,20434.994201121604,0.2798434656149994,3.1607230704785882,27.609947944633003,24.970926135782864,-2.6390218088501385,-9.558228121770608,67.5713939834919,67.72677929170942,0.15538530821751806,0.22995723346403985,4.818658071875106,7.302294572507718,2.4836365006326124,51.542077972470544
>=3500 m,Dense urban,1271768.941425761,1336206.0353885868,368091.7007013436,348604.2747362802,842155.5977126716,894470.2908903591,61521.64301174596,93131.46976194752,1.3362060353885867,5.0667296443476895,28.943284327157848,26.089110923294204,-2.854173403863644,-9.86126305363879,66.21922978937855,66.94104555741174,0.7218157680331956,1.0900395101680393,4.837485883463625,6.969843519294061,2.132357635830436,44.079873041483175
>=3500 m,Urban centre,3188748.9220830686,3548622.3471834026,870461.7363968268,875196.5264745075,2139838.2992478926,2448448.0860368796,178448.8864383491,224977.73467201553,3.5486223471834024,11.285724711911293,27.297907664307186,24.662994279150745,-2.634913385156441,-9.652437166829708,67.10588859564493,68.99714442649135,1.8912558308464185,2.8183157550336846,5.596203740047878,6.339861294357905,0.743657554310027,13.288607578530808
