removed_iso3,removed_country_name,removed_region,removed_highland_population_2025,removed_highland_absolute_growth_2015_2025,remaining_highland_population_2015,remaining_highland_population_2025,remaining_highland_absolute_change_2015_2025,remaining_highland_growth_percent,remaining_lowland_population_2015,remaining_lowland_population_2025,remaining_lowland_absolute_change_2015_2025,remaining_lowland_growth_percent,remaining_highland_minus_lowland_growth_difference_pp,contrast_reverses_highland_not_greater_than_lowland
BIH,Bosnia and Herzegovina,Europe,1544.7825320494787,-163.76389410197157,444118825.84096432,521969483.65590823,77850657.81494391,17.529240663808668,5725743726.0451736,6240102934.9058838,514359208.86071014,8.9832733260659392,8.545967337742729,False
BEL,Belgium,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5717087623.0854273,6230643583.4290695,513555960.34364223,8.9828247212779946,8.5463116332107543,False
SVK,Slovakia,Europe,378.37583333803428,5.1712440622745817,444120161.18280131,521970650.06260693,77850488.879805684,17.529149920253715,5723620856.0364819,6237621099.426384,514000243.38990211,8.9803335391757457,8.5488163810779696,False
FIN,Finland,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5722790592.9762077,6236704274.5277958,513913681.55158806,8.980123825993795,8.5490125284949539,False
LTU,Lithuania,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5725369284.3765974,6239505885.5899076,514136601.21331024,8.9799727437020973,8.5491636107866515,False
NLD,Netherlands,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5711231679.4886541,6224072688.7630854,512841009.27443123,8.9795168197474986,8.5496195347412502,False
LVA,Latvia,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5726306542.5092173,6240494750.2963629,514188207.78714561,8.979404158161481,8.5497321963272679,False
URY,Uruguay,South America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5724929939.6572237,6238972086.7575083,514042147.10028458,8.9790120144433168,8.5501243400454321,False
ALB,Albania,Europe,1952.0244898144724,-429.71260666424223,444118152.65029401,521969076.41395038,77850923.763656437,17.529327116911961,5725818194.4933577,6239934388.7710857,514116194.27772808,8.9789123023878865,8.5504148145240748,False
MKD,North Macedonia,Europe,560.96662269496142,-50.93322172557157,444119922.48754609,521970467.47181749,77850544.984271467,17.529171974142756,5727004088.1041355,6241180813.0436134,514176724.93947792,8.9781099686571153,8.5510620054856403,False
JAM,Jamaica,North America,19.177272941714307,0.1850209895348626,444120515.39513856,521971009.26116735,77850493.866028786,17.52913706244,5725844497.6461525,6239875264.5543013,514030766.90814883,8.9773790943757295,8.5517579680642708,False
DNK,Denmark,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5722631901.4053106,6236366802.8434582,513734901.43814754,8.9772487605220483,8.5518875939667005,False
SGP,Singapore,Asia,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5722800282.0867224,6236505407.0733204,513705124.98659801,8.9764643123153718,8.5526720421733771,False
MUS,Mauritius,Africa,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5727075310.6741323,6241162343.6175337,514087032.94340134,8.9764322111365473,8.5527041433522015,False
SLV,El Salvador,North America,17749.595384147782,512.95334848771745,444103297.74535477,521953278.84305614,77849981.097701311,17.529701196305876,5725636599.1932287,6239626521.4495955,513989922.25636673,8.9769916995568764,8.5527094967489994,False
SVN,Slovenia,Europe,224.37190109697761,6.4942004519301975,444120316.50968987,521970804.06653923,77850487.556849301,17.52914349171656,5726474334.6881695,6240488036.5963192,514013701.90814972,8.976093698604517,8.5530497931120433,False
MTQ,Martinique,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5727907402.2250557,6242016880.981823,514109478.75676727,8.9755200748716177,8.5536162796171311,False
EST,Estonia,Europe,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5726977983.0660496,6241003119.3932619,514025136.32721233,8.9755039716779041,8.5536323828108447,False
FJI,Fiji,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5727376732.2538633,6241429098.8004684,514052366.54660511,8.9753545222842863,8.5537818322044625,False
GLP,Guadeloupe,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5727889166.2072754,6241985897.9268398,514096731.7195645,8.9753261070862145,8.5538102474025344,False
XKS,Kosovo,Europe,3019.7352370300168,-175.30305828197788,444117339.34909523,521968008.70320326,77850669.354108095,17.529301933630236,5727766737.071249,6241860713.2825327,514093976.21128368,8.9754698438392211,8.5538320897910154,False
AZE,Azerbaijan,Asia,80064.05813200424,4971.9830374213489,444045442.31229591,521890964.38030827,77845522.068012357,17.530980987586361,5720180852.2504749,6233681558.6031637,513500706.35268879,8.9770012455229207,8.55397974206344,False
REU,Reunion,Africa,2590.0692125564583,43.774954890829576,444117988.09313285,521968438.36922771,77850450.276094854,17.529226998967985,5727591925.0643911,6241645923.8290462,514053998.76465511,8.9750458044176398,8.5541811945503454,False
TTO,Trinidad and Tobago,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5726872249.8786058,6240853872.2676048,513981622.38899899,8.9749098628818551,8.5542264916068937,False
TUN,Tunisia,Africa,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5717809483.8546333,6230973393.2041855,513163909.34955215,8.9748339954063194,8.5543023590824294,False
TJK,Tajikistan,Asia,628904.481513498,130980.14606939984,443622610.0519464,521342123.9569267,77719513.904980361,17.519286020133134,5724959351.3444834,6238191944.231636,513232592.88715267,8.9648250998781691,8.5544609202549644,False
VIR,"Virgin Islands, U.S.",North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728190457.0862665,6242273213.0729866,514082755.98672009,8.974610042002972,8.5545263124857769,False
NOR,Norway,Europe,153.26660825267766,10.751248610193244,444120391.87203085,521970875.17183203,77850483.299801171,17.529139558679184,5723204982.4767351,6236839540.0703325,513634557.59359741,8.9745965620004835,8.5545429966787001,False
MMR,Burma,Asia,527029.24565633887,35701.906694798672,443629207.04842895,521443999.19278389,77814792.144354999,17.540502498037807,5684266268.3899584,6195051167.378087,510784898.98812866,8.9859425099170469,8.5545599881207597,False
BRB,Barbados,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728014198.9157877,6242076179.002944,514061980.0871563,8.9745234951487944,8.5546128593399544,False
PYF,French Polynesia,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728015571.8109045,6242076451.8130522,514060880.00214767,8.9745021387857022,8.5546342157030466,False
CPV,Cabo Verde,Africa,1347.7902785800395,-138.81979038275631,444119047.77732152,521969680.64816171,77850632.870840192,17.529226287514245,5727828441.1463127,6241876048.4640665,514047607.31775379,8.9745636169032537,8.5546626706109912,False
MHL,Marshall Islands,Oceania,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728242550.0866423,6242320806.0728569,514078255.98621464,8.9744498681962934,8.5546864862924554,False
VCT,Saint Vincent and the Grenadines,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5728185086.36131,6242257883.0713081,514072796.70999813,8.9744445921273535,8.5546917623613954,False
BHS,The Bahamas,North America,0,0,444120534.38739049,521971028.43844026,77850494.051049769,17.529136354488749,5727909215.4864197,6241956857.997509,514047642.51108932,8.9744376730216011,8.5546986814671477,False
