iso3,country_id,country_name,region,worldpop_country_name,country_name_dos_short,country_name_dos_long,highland_population_total_2015,highland_population_total_2025,highland_absolute_change_2015_2025,highland_percent_change_2015_2025,lowland_population_total_2015,lowland_population_total_2025,lowland_absolute_change_2015_2025,lowland_percent_change_2015_2025,highland_minus_lowland_growth_difference_pp,highland_youth_share_2025_percent,lowland_youth_share_2025_percent,country_share_global_highland_2025_population_percent,country_share_global_highland_absolute_growth_percent
HTI,105,Haiti,North America,Haiti,Haiti,Republic of Haiti,79012.94911969133,90306.902981066858,11293.953861375529,14.293801189811417,8883363.6594289411,10082609.567074964,1199245.9076460227,13.499907845978187,0.79389334383322918,30.991836313859046,30.991480511537222,0.0173011332163845,0.0145072346669625
KAZ,122,Kazakhstan,Asia,Kazakhstan,Kazakhstan,Republic of Kazakhstan,76376.50315547215,88015.325763927729,11638.822608455581,15.238747687575549,11083967.60512244,12793036.326936116,1709068.721813675,15.419286510940641,-0.18053882336509189,28.863780200535111,29.281034070475197,0.0168621093832045,0.014950223181401399
ITA,117,Italy,Europe,Italy,Italy,Italian Republic,83491.989027727774,81632.709412565731,-1859.2796151620423,-2.2268958217591077,56309947.99982167,55020578.642832026,-1289369.3569896445,-2.2897718836354239,0.062876061876316197,13.037024363457068,11.828119989659957,0.015639318078013401,-0.0023882695130268
AZE,17,Azerbaijan,Asia,Azerbaijan,Azerbaijan,Republic of Azerbaijan,75092.075094582891,80064.05813200424,4971.9830374213489,6.6211821036492102,8111020.8360098843,8676161.4697224125,565140.63371252827,6.9675648126006076,-0.34638270895139728,22.947556591317152,21.125309809693288,0.015338793490422,0.0063865786569845002
SYR,236,Syria,Asia,Syria,Syria,Syrian Arab Republic,59907.363273410381,73882.427105035546,13975.063831625164,23.327789887604578,11880186.645047083,15183467.489443228,3303280.8443961442,27.804957473233809,-4.4771675856292354,28.754693743229694,28.761528257941531,0.0141545072580113,0.017951156254013102
BRA,35,Brazil,South America,Brazil,Brazil,Federative Republic of Brazil,64917.577607632244,66945.191269071787,2027.6136614395509,3.1233661762529601,113978298.43066238,118624462.55159718,4646164.1209347993,4.0763585567661806,-0.95299238051322044,19.052934849400824,20.622619799650899,0.0128254611121519,0.0026044968450809002
UZB,257,Uzbekistan,Asia,Uzbekistan,Uzbekistan,Republic of Uzbekistan,45788.860688356814,56416.840395427891,10627.979707071076,23.210841124451822,21818126.521483339,26272330.375569299,4454203.8540859595,20.415152738710649,2.7956883857411761,31.371302344574826,30.928349522532848,0.0108084237096851,0.0136517819657019
AUT,15,Austria,Europe,Austria,Austria,Republic of Austria,54223.733505907127,52640.267692525762,-1583.4658133813646,-2.9202449020019285,6092327.3171428153,6583027.3741625594,490700.05701974407,8.0543941826466572,-10.974639084648588,14.123100373985045,14.232384574825533,0.0100849021927534,-0.0020339829986729999
FRA,80,France,Europe,France,France,French Republic,50404.538947233326,51811.823374308493,1407.2844270751666,2.7919795646745253,61969118.838491626,63660273.148714565,1691154.3102229389,2.7290275251945193,0.062952039480005995,14.595486626897186,16.408219476083051,0.0099261875758338003,0.0018076756534805001
SSD,226,South Sudan,Africa,Ilemi Triangle (South Sudan),,,47166.431368526835,48038.700342854303,872.26897432746773,1.8493427402046669,8370900.8637018045,9095552.5072882231,724651.64358641859,8.6567939984653091,-6.8074512582606417,40.223650002437914,39.213077019270102,0.0092033269521814998,0.0011204411544973
